Number;Speaker;Start time;End time;Duration;Text
0;Speaker 1;00:00:04.070;00:00:39.300;00:00:35.230;"Thank you for participating in my study. My name is Eugenbey and I am one of your researchers for this project. This project aims to understand the challenges user experience researchers face at work when conducting quality qualitative research. We are especially interested in how AI and crowdsourcing can support US researchers to induce insights from qualitative research. In addition to that, we like to investigate what kind of ethical concerns do user experience researchers based in the industry? And just to confirm, we have your consent to reports interview, correct?"
1;Speaker 2;00:00:39.990;00:00:40.740;00:00:00.750;"Yes."
2;Speaker 1;00:00:41.910;00:00:52.440;00:00:10.530;"Okay. Now let's dig in our interview. Before we get to the workshop, could you briefly describe which company you worked at and what your role at the company was?"
3;Speaker 2;00:00:53.790;00:01:40.090;00:00:46.300;"Yeah, sure. So in the past, I've worked for a variety of HCI related labs as a UX researcher and design engineer. So currently I'm working for two main organizations. One of them is with Opton of the United Health Group, where we will be designing a solution from user research to design to implementation to help employees better participate and engage in optimal programs. And then the other is for a crowd auditing platform where I'm redesigning their interface through user research and testing and iteration."
4;Speaker 1;00:01:40.650;00:01:51.730;00:00:11.080;"Okay, thank you. Now we will start the workshop. I will share a Google Slides link where you will be given detailed instructions on what to do. I'll send it right now on chat."
5;Speaker 2;00:01:59.710;00:02:01.300;00:00:01.590;"Okay. Okay."
6;Speaker 1;00:02:01.750;00:02:13.160;00:00:11.410;"Do you think you can share your screen with me? Yeah. Okay. It's enabled now."
7;Speaker 2;00:02:14.150;00:02:24.240;00:00:10.090;"Okay. Can you see my screen?"
8;Speaker 1;00:02:25.230;00:02:31.980;00:00:06.750;"Yeah, I can see your screen. Okay. You good?"
9;Speaker 2;00:02:32.310;00:02:33.900;00:00:01.590;"Yeah. Okay."
10;Speaker 1;00:02:40.870;00:03:08.600;00:00:27.730;"So there are three parts to this workshop and the goal of the first part is to understand how your team develops a product. You can go to the next slide after that and read the instruction carefully and create a diagram accordingly in the following slide after that, after looking at the example and it's emphasized in the instructions. But make sure to include the qualitative data analysis element and the brainstorming stage in your diagram. Please."
11;Speaker 2;00:03:09.590;00:03:11.550;00:00:01.960;"Wait, can I get access?"
12;Speaker 1;00:03:11.720;00:03:12.800;00:00:01.080;"Oh, sorry."
13;Speaker 2;00:03:13.910;00:03:25.260;00:00:11.350;"How do I do that? Also, do I need to think? Hello?"
14;Speaker 1;00:03:25.770;00:03:27.120;00:00:01.350;"Yeah. Yes, please."
15;Speaker 2;00:03:27.810;00:05:15.980;00:01:48.170;"Okay, I think you have access now. Oh, yeah. Okay, great. Okay. What is the process of your team when developing a product? Please make a simple diagram. Elaborate verbally will make you square boxes for each process and arrows to show you stakeholder circle to indicate who are involved. You can create more shades of different colors if you need to. Okay, I see. I'm going to copy this diagram first and modify later because I'm too lazy to make my own process. I guess it varies by project, but generally we follow like the typical double diamond process. So for all my projects, we usually start with background research, and I guess that's even before user research here. So it will be something like literature review and other forms that's researched before we even start doing user research because we want to understand the problem space. So this will be the first part and then after that we usually move on to user research."
16;Speaker 1;00:05:22.410;00:05:24.420;00:00:02.010;"I don't know what's going on with the."
