Number;Speaker;Start time;End time;Duration;Text
0;Speaker 2;00:00:02.750;00:00:25.420;00:00:22.670;"So I see you ask questions about, I want to ask some more questions on the ethical design issues. Have you ever heard about the ethical design before?"
1;Speaker 1;00:00:26.890;00:00:28.060;00:00:01.170;"Ethical design?"
2;Speaker 2;00:00:28.200;00:00:34.120;00:00:05.920;"Yeah. I mean ethical issue on designing interfaces or whatever."
3;Speaker 1;00:00:36.890;00:00:41.480;00:00:04.590;"It's subcontent, but yeah, it's a part of it."
4;Speaker 2;00:00:44.070;00:00:47.220;00:00:03.150;"Can you tell me more specific in your home?"
5;Speaker 1;00:00:48.270;00:02:08.199;00:01:19.929;"There are a lot of different layers to that question. Okay. First of all, no matter if it's art or design, it needs to be respectful. Which means, for example there are a lot of bad ads in the 18th century or even 19th century about subjective female like female is not being respected. So those are the design really bad for respect. Women or women look like they stay at home mom all the time rather than give them a chance to work and accept education. And now I think it's over to human right now. We have raised issue in the past few years about Black Lives Matter and Asian thing going on last year. Of course, right now we have the world and then throughout the functionality. And there are two part in the UI UX, which one is the delight moment of making interactions like easy to use, making emotional positive sign. The second is straightforward to make a function. That's what you mentioned about ethical design. That's to my understanding of it."
6;Speaker 2;00:02:08.830;00:03:10.590;00:01:01.759;"Okay. Yeah, I think that is also what I extended. And also to be more stressful for me, ethical design means, for example the Facebook. So Facebook has so many ethical issues these days when developing their UX user interface design. So for example, sometimes they hide some information from the other users and also they do not provide the right to control their Privacy issues. And also sometimes they design their user interfaces like some hard too difficult to find some information. So this is kind of the unethical design cases. So do you have any thought about this as a US designer?"
7;Speaker 1;00:03:13.350;00:04:22.300;00:01:08.950;"It is not just a designer's thought on the product direction. It is very majority determined by the product owner or whoever is the product manager on decision which you take. And it's a very strategical question because you need to not think. I don't think it's a conflict between ethic and the profit, but it's a conflict sometime with the Ethic to the easier of useless. So a quick example, we need to ask a user to check opt in and then agree with the term of use and agree with the cookie to collect data with Google and especially after California have this new code issue then previously we don't put that as a priority because user doesn't want it to read it. None of the user would want it to read one full page of text."
8;Speaker 2;00:04:23.230;00:04:24.070;00:00:00.840;"I got it."
9;Speaker 1;00:04:24.170;00:05:02.020;00:00:37.850;"Majority of the user they are user wanted to read it, we leave a chance to them. But those are really minor against the whole product. So a lot of the applicable design in such a term, it is really to cater for majority of the user and what's the value to them? The common ground of agreement rather than we're going to make every single person happy. We have one complaint because he couldn't find the term of use. So he needs to change the design for the product which you are facing too many of other users. It doesn't work that way."
10;Speaker 2;00:05:05.770;00:05:36.320;00:00:30.550;"Okay, cool. So do you have any special personal experience on design cases when you develop some interfaces? So what? I mean, when you design the interfaces, do you think about ethical issues or cases when you develop your product?"
11;Speaker 1;00:05:39.990;00:05:45.230;00:00:05.240;"What do you mean by ethical in terms of designing a product? Like give me some example."
12;Speaker 2;00:05:45.410;00:06:40.350;00:00:54.940;"Okay. So when you develop some something product so you think about some social impact on your services. So for example, the Twitter is intented to share some information with a very short amount of the sentence. But later the many people views these Twitters like blame each other or whatever. So something like that. But I believe that the designer cannot understand this kind of situation before when they develop interfaces. But I just wonder when designers develop some interfaces they also think about this kind of scenario or cases related social impact or some ethical cases."
13;Speaker 1;00:06:42.470;00:06:58.810;00:00:16.340;"I think. Let me ask you a question. Do you think building a regulation for ethics to rule people is going to help people to get a better Ethic overall?"
14;Speaker 2;00:07:09.790;00:07:22.340;00:00:12.550;"Okay, yes, sorry. I think she's one of our researchers. So she's doing this interview."
