Number;Speaker;Start time;End time;Duration;Text
0;Speaker 2;00:01:28.150;00:01:29.190;00:00:01.040;"Hi, Dylan."
1;Speaker 1;00:01:32.670;00:01:33.600;00:00:00.930;"Hear you."
2;Speaker 2;00:01:35.310;00:01:50.220;00:00:14.910;"Okay. Actually, I'll look to my AirPod. Give me a second. I think it's not working. So I would just do it."
3;Speaker 1;00:01:50.420;00:01:50.740;00:00:00.320;"Okay."
4;Speaker 2;00:01:50.760;00:01:52.650;00:00:01.890;"So you hear me fine, right?"
5;Speaker 1;00:01:52.830;00:01:54.570;00:00:01.740;"I hear you fine. Yes. Perfect. Perfect."
6;Speaker 2;00:01:54.690;00:02:28.720;00:00:34.030;"Great. Thank you for participating this pilot study and let me get started. Sure. Hi, I'm Daikai. I'm a main researcher for this project. Before we start, I would like to read the content form and by saying yes, you voluntarily agreed to participate in this interview. So let me read the consent form. Actually, I will skip this part. And can you say yes?"
7;Speaker 1;00:02:29.230;00:02:35.170;00:00:05.940;"Yes, I will agree to being participant in this interview and you can record my audio and transcribe it."
8;Speaker 2;00:02:35.270;00:02:47.330;00:00:12.060;"Thank you. And I will ask questions from now on. Can you tell me about your role as a UX researcher at the company when you're working as a UX researcher?"
9;Speaker 1;00:02:47.890;00:04:09.910;00:01:22.020;"Yeah, I was working before for three years in the folks on Group Future Center in Potsdam. It's called Foxang Group Future Center Europe and it's part of the Fox Baron group. So we were doing user experience design for all the folks brands, like obviously folks Audi, Porsche, others. And I was part of the experience design team and as part of the user experience design team, my role was called UX technologist. We had UX technologists, UX researchers, UX designers, and in those roles we had a kind of flat hierarchy design like our boss tried to establish a new way to run companies. So we had people that could be part of circles. And I was also part of the UX researcher circle. So while I did many coding and only a little bit of design, I also majorly did research as part of my job there."
10;Speaker 2;00:04:10.080;00:04:23.580;00:00:13.500;"I see. Then as a UX technologist, did you conduct any user study? Did you interview users and analyze qualitative data?"
11;Speaker 1;00:04:24.630;00:05:02.170;00:00:37.540;"Yeah. So whenever we had a new project, we usually would go with the traditional human centric process. Sometimes we try to deviate from it a little bit when we felt like it's not necessary. But there was almost every project user research involved and often I was organizing that also majorly because in my groups we actually never had another user experience researcher, so we didn't have one whose main job was doing research. So I was doing this with my project team colleagues."
12;Speaker 2;00:05:02.490;00:05:12.580;00:00:10.090;"I see. How many other UX researchers did you collaborate with?"
13;Speaker 1;00:05:15.370;00:06:16.260;00:01:00.890;"Across my time, research circle had four permanent members and one Cross member and another Cross member like me. Okay. But we were also working with many other user experience researcher from Carriet and from Karmic, which are other folks buying subsidies. They had their own whole UX Department as well. So we work a lot with them. Also. They have we share services, which are the digital services. And actually with them we could do most of our research very easily. So that was what I actually used most because they set up so called we listen regular appointments and we would just use their participants to do our research."
14;Speaker 2;00:06:17.190;00:06:18.120;00:00:00.930;"I see."
15;Speaker 1;00:06:19.950;00:06:21.050;00:00:01.100;"2030."
16;Speaker 2;00:06:21.060;00:06:25.620;00:00:04.560;"I see. Wow, that's a big group."
17;Speaker 1;00:06:26.130;00:06:28.930;00:00:02.800;"Yeah, it's many. We work quite well connected."
18;Speaker 2;00:06:31.690;00:06:36.280;00:00:04.590;"How often did you analyze qualitative data?"
